id,title,genres,keywords,tagline,overview,cast,director,language
732,Entha Manchivaadavuraa,Action Drama Romance,good samaritan,,"Abandoned after his parents' death, a short film actor assumes multiple identities to bond with people in need of love and affection.",Kalyan Ram Mehreen Pirzada Rajiv Kanakala Vennela Kishore Tanikella Bharani,Satish Vegesna,te
733,Power,Action Comedy,,Unlimited,"Ravi Teja plays a young man desperate to become a police officer, who becomes embroiled in a plot to pose as his lookalike in order to re-capture an infamous thug from rogue cops. The film revolves around two similar looking people, Baldev Sahay - a corrupt ACP in Kolkata and Tirupathi - a person aspiring to become a police officer in Hyderabad. The home minister of Kolkata recruits Tirupathi to play as Baldev to catch a gangster rescued by Baldev. Rest of the story is all about why Baldev became a corrupt cop and how Tirupathi executed the unfinished mission of Baldev.",Ravi Teja Hansika Motwani Regina Cassandra Prakash Raj Mukesh Rishi,Bobby Kolli,te
734,Uyyala Jampala,Romance,,,"Close relatives, Suri and Uma Devi grow up together living next door to each other. They are made for each other but Suri takes a while to figure that out.",Raj Tarun Avika Gor Punarnavi Bhupalam Peela Gangadhar Alluri Hanuma,Virinchi Varma,te
735,Chalte Chalte,Action Romance Comedy,,,"Chalte Chalte is a Telugu Romantic Action entertainer. Santhosh (Vishwadev Rachakonda) is a taxi driver who meets Shruthi (Priyanka Jain) during one of his journeys. The couple falls in love with each other and even their parents approve of their love. As time passes by, Shruthi starts hating Santhosh all of a sudden. The twists and turns form the crux of the story.",Vishwadev Rachakonda Priyanka Jain Rao Ramesh Naresh Sayaji Shinde,Pradeep KK,te
736,Vinodham,Romance Comedy,,,"Four unemployed orphans who are adventurous and fun-loving, with a care-free attitude and absolutely no worries, and the lead of them, Raja (Srikant) falls in love with another fun-loving girl, Ashta Lakshmi (Ravali). But, the only problem in their way to marriage is Ashta Lakshmi's father, Bangaram (Kota Srinivas Rao), who although loves his only daughter, but does not want his daughter's marriage with this poor guy to happen. He instead wants richest possible groom because he believes money is the only source of happiness and comfort. How Raja and his friends try out many ways to convince Bangaram is the hilarious turn of events that is to be seen.",Srikanth Ravali Kota Srinivasa Rao Shivaji Raja Uttej,S.V. Krishna Reddy,te
737,Swayamvaram,Drama Romance,,,"Though Venu and Anu hate each other initially, they eventually fall in love when they keep meeting each other due to a common friend, Bose, who incidentally is also in love with Anu.",Venu Thottempudi Laya Brahmaji Ali Basha Sunil Varma,K. Vijaya Bhaskar,te
738,Vey Dharuvey,Action Comedy,,,"Vey Dharuvey narrates the story of Shankar (Sai Ram Shankar), a young man from Karimnagar who relocates to Hyderabad in search of employment after facing setbacks in his engineering exams. In Hyderabad, Shankar falls for Shruti (Yasha Ravi Kumar), but their budding romance takes an unexpected turn when Shankar stumbles upon a startling revelation.  As Shankar delves deeper into the mystery, he unravels a scandal involving Fly Consultants CEO Satya Harishandra Prasad (Devraj Pothuru), his brother Banu (Sunil), and others. Determined to unveil the truth and seek justice, Shankar confronts various challenges, including personal struggles and opposition from influential figures.  The film portrays Shankar's journey as he juggles love, justice, and self-improvement. Through his endeavours, Shankar not only seeks redemption for himself but also looks to make a positive impact on society.",Sairam Shankar Sunil Varma Chammak Chandra Hebah Patel Posani Krishna Murali,D. Naveen Reddy,te
739,Sreeram,,,,"Sreeram's ambition to become a police officer is in jeopardy when he has a fight with Encounter Shankar, a corrupt police officer, when he misbehaves with his girlfriend.",Uday Kiran Anita Hassanandani Reddy Ashish Vidhyarthi,V. N. Aditya,te
740,Mokshapatam,Crime Thriller,,,"Mokshapatam Gayatri is a middle-class woman working as a floor manager at a hotel. She has dreams of giving a better life to her kid and making a decent living with her savings until her family loses money to her husband's friend, who dies in an accident. On a fateful day, she discovers a bag forgotten by a customer in the hotel room. Will this bag change her fate or throw her into more problems? Watch now!",Thiruveer Reddy Pooja Kiran Shanthi Rao Jennifer Emanuel Tarun Ponugoti,Rahul Vanaja Rajeshwar,te
741,Krishna,Comedy Action,,The power on earth.,"Krishna falls in love with Sandhya whose brother is a builder. Jatka, a ruffian loves Sandhya and wishes to marry her. Krishna has to take on Jatka to win his love.",Ravi Teja Trisha Krishnan Mukul Dev Chandramohan Kadhal Thandapani,V. V. Vinayak,te
742,Mantra 2,Thriller Horror,,,"The movie is about engineer named Mantra, who shifts to Hyderabad after landing a job. When unidentified goons attempt to murder her, she seeks help from her friend.",Charmy Kaur Chethan Cheenu Tanikella Bharani Delhi Rajeshwari Rahul Dev,S.V. Suresh,te
743,Manchi Rojulochaie,Family Comedy Romance,,,"A young lady, who is in a live-in relationship with the man she loves, has to deal with an obsessive, controlling father who takes pride in the way he raises his daughter. How the two youngsters manage to convince him about and accept their love for each other forms the crux of the story.",Santosh Shoban Mehreen Pirzada Ajay Ghosh Rajitha Vennela Kishore,Maruthi Dasari,te
744,Nuvvostanante Nenoddantana,Drama Comedy Romance,,,"Siri and Sriram fall in love with each other and plan to get married. However, his mother disapproves of their relationship.",Siddharth Trisha Krishnan Srihari Prakash Raj Archana,Prabhu Deva,te
745,Harom Hara,Action Crime Drama,,The Revolt,"Set in the late 1980s Kuppam, Subramanyam, a talented lab assistant, becomes a gunsmith as life throws curveballs after he gets embroiled in a college incident, turns out to be the savior of the locals.",Sudheer Babu Sunil Varma Malavika Sharma Akshara Gowda Jayaprakash,Gnanasagar Dwaraka,te
746,Gangotri,Drama Romance,,,"A factional leader's only daughter falls in love with his loyal lieutenant's son. When the childhood lovers' secret is exposed their fathers become enemies. How will the young man react to his lover's father bombing his house? Will there ever be an end to the cycle of violence, hatred and revenge?",Allu Arjun Aaditi Agarwal Prakash Raj Suman Talwar Brahmanandam,K Raghavendra Rao,te
747,Shirdi Sai,Drama,mythology hinduism,,"Based on the life of Indian guru Shirdi Sai Baba, who taught love, forgiveness, charity and devotion.",Nagarjuna Akkineni Srikanth Srihari Sai Kumar Sayaji Shinde,K Raghavendra Rao,te
748,Yamudiki Mogudu,Action Comedy Fantasy,,,"Kaali, a ruffian, is killed by a rival when he falls in love with his daughter. When Kaali fights with the god of death, he is sent back in the body of a soft-spoken man who is harassed by his family.",Chiranjeevi Vijayashanti Radha Kaikala Satyanarayana Allu Ramalingaiah,Ravi Raja Pinisetty,te
749,Adavi Ramudu,Drama Romance Action,,,Nagabhushanam and his son Nagaraju (Satyanarayana) runs smuggling and Illegal transport of forest produce in the Forest. Ramu (NTR) opposes and raises the villagers to fight against him. Padma (Jayaprada) Daughter of Forest officer (Jaggayya) loves him. One tribal lady Chilakamma (Jayasudha) also loves him as a brother. Nagabhushanam takes the help of Jaggu (Sridhar) to sent Ramu away from the forest. Later half reveals that Ramu was in fact a Forest officer in secret mission to investigate the case of Forest affairs. The story finally leads to the arrest of criminals.,N.T. Rama Rao Jaya Prada Jayasudha Nagabhushanam Kaikala Satyanarayana,K Raghavendra Rao,te
750,Study,Documentary,career sports class education telugu telangana andhra pradesh sri chaitanya narayana,,"The documentary explores the education system in Andhra Pradesh & Telangana, focusing on why students primarily choose careers as engineers or doctors. It delves into the reason behind this trend and features interviews with students, educators and parents. The film aims to uncover the underlying issues and shed light on the realities of the educational system.",,Abhilash Sunkesula,te
